TrxID,Date,Amt,Description,Payment Mode,TrxType,Envelope
1,24/12/25,1147,Old Balance,HDFC,Income,Income
2,24/12/25,201700,SALARY FOR DEC-25,HDFC,Income,Income
3,24/12/25,-850,UPI-GUPTA BINAYKUMAR,HDFC,Expense,
4,24/12/25,-825,UPI-PANKAJ HARDWARE,HDFC,Expense,
5,24/12/25,-365,UPI-PRIME DEPARTMENT,HDFC,Expense,
6,24/12/25,-300,UPI-AALAM,HDFC,Expense,
7,24/12/25,-200,UPI-GUPTA BINAYKUMAR,HDFC,Expense,
8,24/12/25,-70,UPI-RAM HOMARAJ,HDFC,Expense,
9,24/12/25,-60,UPI-SHREE BHEAL,HDFC,Expense,
10,24/12/25,-42,UPI-RAMESH SHARMA,HDFC,Expense,
